client,block,t,tprime,eta_min,eta_max,eta_min_norm,eta_max_norm,sigma,eps,width_t,width_tprime
1,4,1,3,23.783396,44.175728,1.051087526664936,1.952309795157017,46.43478,29.713745,31.97525978088379,31.970979690551758
1,0,1,4,42.33836,132.77014,0.6615368723869324,2.074533462524414,105.63791,0.18170738,nan,nan
1,1,1,4,68.83684,202.4273,1.075575590133667,3.16292667388916,154.87607,0.12266953,11.32412338256836,11.326481819152832
1,2,1,4,45.337452,103.679756,1.0018256157758267,2.2910205829913,84.57077,12.451836,15.98827838897705,15.988936424255371
1,3,1,4,33.09615,66.04633,1.0342546701431274,2.063947916030884,58.186337,30.664852,22.61716651916504,22.61530113220215
1,4,1,4,23.783396,44.175728,1.051087526664936,1.952309795157017,49.594975,27.92345,31.97525978088379,31.96943473815918
1,0,2,3,42.114006,138.31363,0.6580313444137573,2.1611504554748535,113.83216,0.20178343,nan,nan
1,1,2,3,73.73203,208.14449,1.152063012123108,3.2522575855255127,171.1182,0.0947738,11.325143814086914,11.325660705566406
1,2,2,3,45.826805,103.853966,1.0126388955234789,2.2948701075468914,89.07144,9.870053,15.988561630249023,15.98861026763916
1,3,2,3,32.522533,72.0765,1.0163291692733765,2.2523906230926514,59.821754,36.326656,22.616628646850586,22.615802764892578
1,4,2,3,24.614906,47.115826,1.0878354481752814,2.0822449887808285,47.9439,31.809002,31.972997665405273,31.970979690551758
1,0,2,4,42.114006,138.31363,0.6580313444137573,2.1611504554748535,115.16626,0.22688146,nan,nan
1,1,2,4,73.73203,208.14449,1.152063012123108,3.2522575855255127,169.98175,0.14862478,11.325143814086914,11.326481819152832
1,2,2,4,45.826805,103.853966,1.0126388955234789,2.2948701075468914,87.63685,15.181146,15.988561630249023,15.988936424255371
1,3,2,4,32.522533,72.0765,1.0163291692733765,2.2523906230926514,60.655167,32.383095,22.616628646850586,22.61530113220215
1,4,2,4,24.614906,47.115826,1.0878354481752814,2.0822449887808285,51.6876,33.179356,31.972997665405273,31.96943473815918
1,0,3,4,40.036385,117.891426,0.6255685091018677,1.8420535326004028,103.94041,0.15947707,nan,nan
1,1,3,4,69.08673,180.91385,1.0794801712036133,2.8267788887023926,158.52559,0.11191012,11.325660705566406,11.326481819152832
1,2,3,4,44.11421,90.695435,0.974795493126638,2.004104900229025,82.49497,11.230404,15.98861026763916,15.988936424255371
1,3,3,4,31.93623,64.789024,0.9980071783065796,2.0246570110321045,58.12061,31.774454,22.615802764892578,22.61530113220215
1,4,3,4,25.913086,47.469166,1.1452074242422507,2.0978605647415085,53.524765,31.981293,31.970979690551758,31.96943473815918
2,0,0,1,41.814964,120.48041,0.6533588171005249,1.8825063705444336,103.23631,0.12043035,nan,nan
2,1,0,1,70.71243,188.31612,1.104881763458252,2.942439317703247,161.008,0.061617807,11.323509216308594,11.324301719665527
2,2,0,1,44.948006,105.27818,0.9932199879531755,2.3263411593299756,94.31377,7.9958544,15.988348007202148,15.988423347473145
2,3,0,1,32.766468,71.016655,1.0239521265029907,2.2192704677581787,60.2596,30.819094,22.617887496948242,22.617204666137695
2,4,0,1,24.58764,43.670746,1.086630469776355,1.9299925331083163,45.904766,30.394543,31.977540969848633,31.975263595581055
2,0,0,2,41.814964,120.48041,0.6533588171005249,1.8825063705444336,115.46532,0.10995844,nan,nan
2,1,0,2,70.71243,188.31612,1.104881763458252,2.942439317703247,171.56055,0.11249532,11.323509216308594,11.325185775756836
2,2,0,2,44.948006,105.27818,0.9932199879531755,2.3263411593299756,92.903275,11.806871,15.988348007202148,15.98859691619873
2,3,0,2,32.766468,71.016655,1.0239521265029907,2.2192704677581787,64.540245,30.931988,22.617887496948242,22.61663818359375
2,4,0,2,24.58764,43.670746,1.086630469776355,1.9299925331083163,48.207695,32.16875,31.977540969848633,31.973018646240234
2,0,0,3,41.814964,120.48041,0.6533588171005249,1.8825063705444336,95.58165,0.116290085,nan,nan
2,1,0,3,70.71243,188.31612,1.104881763458252,2.942439317703247,153.20049,0.07801851,11.323509216308594,11.3255615234375
2,2,0,3,44.948006,105.27818,0.9932199879531755,2.3263411593299756,93.33061,11.673556,15.988348007202148,15.988527297973633
2,3,0,3,32.766468,71.016655,1.0239521265029907,2.2192704677581787,61.70212,32.208992,22.617887496948242,22.615755081176758
2,4,0,3,24.58764,43.670746,1.086630469776355,1.9299925331083163,48.964905,33.290516,31.977540969848633,31.970962524414062
2,0,0,4,41.814964,120.48041,0.6533588171005249,1.8825063705444336,107.40213,0.15897238,nan,nan
2,1,0,4,70.71243,188.31612,1.104881763458252,2.942439317703247,160.21965,0.15240014,11.323509216308594,11.32648754119873
2,2,0,4,44.948006,105.27818,0.9932199879531755,2.3263411593299756,87.33937,11.124606,15.988348007202148,15.988932609558105
2,3,0,4,32.766468,71.016655,1.0239521265029907,2.2192704677581787,62.536755,31.902967,22.617887496948242,22.615306854248047
2,4,0,4,24.58764,43.670746,1.086630469776355,1.9299925331083163,46.532253,32.153133,31.977540969848633,31.969419479370117
2,0,1,2,42.33836,132.77014,0.6615368723869324,2.074533462524414,111.831406,0.14254281,nan,nan
2,1,1,2,68.83684,202.4273,1.075575590133667,3.16292667388916,168.46503,0.10058546,11.324301719665527,11.325185775756836
2,2,1,2,45.337452,103.679756,1.0018256157758267,2.2910205829913,90.2605,12.679659,15.988423347473145,15.98859691619873
2,3,1,2,33.09615,66.04633,1.0342546701431274,2.063947916030884,58.310444,29.6962,22.617204666137695,22.61663818359375
2,4,1,2,23.783396,44.175728,1.051087526664936,1.952309795157017,49.430485,30.944277,31.975263595581055,31.973018646240234
2,0,1,3,42.33836,132.77014,0.6615368723869324,2.074533462524414,95.61326,0.14747739,nan,nan
2,1,1,3,68.83684,202.4273,1.075575590133667,3.16292667388916,147.92467,0.09117056,11.324301719665527,11.3255615234375
2,2,1,3,45.337452,103.679756,1.0018256157758267,2.2910205829913,83.97959,10.244223,15.988423347473145,15.988527297973633
2,3,1,3,33.09615,66.04633,1.0342546701431274,2.063947916030884,56.571445,30.84241,22.617204666137695,22.615755081176758
2,4,1,3,23.783396,44.175728,1.051087526664936,1.952309795157017,46.43478,29.713745,31.975263595581055,31.970962524414062
2,0,1,4,42.33836,132.77014,0.6615368723869324,2.074533462524414,105.63791,0.18170738,nan,nan
2,1,1,4,68.83684,202.4273,1.075575590133667,3.16292667388916,154.87607,0.12266953,11.324301719665527,11.32648754119873
2,2,1,4,45.337452,103.679756,1.0018256157758267,2.2910205829913,84.57077,12.451836,15.988423347473145,15.988932609558105
2,3,1,4,33.09615,66.04633,1.0342546701431274,2.063947916030884,58.186337,30.664852,22.617204666137695,22.615306854248047
2,4,1,4,23.783396,44.175728,1.051087526664936,1.952309795157017,49.594975,27.92345,31.975263595581055,31.969419479370117
2,0,2,3,42.114006,138.31363,0.6580313444137573,2.1611504554748535,113.83216,0.20178343,nan,nan
2,1,2,3,73.73203,208.14449,1.152063012123108,3.2522575855255127,171.1182,0.0947738,11.325185775756836,11.3255615234375
2,2,2,3,45.826805,103.853966,1.0126388955234789,2.2948701075468914,89.07144,9.870053,15.98859691619873,15.988527297973633
2,3,2,3,32.522533,72.0765,1.0163291692733765,2.2523906230926514,59.821754,36.326656,22.61663818359375,22.615755081176758
2,4,2,3,24.614906,47.115826,1.0878354481752814,2.0822449887808285,47.9439,31.809002,31.973018646240234,31.970962524414062
2,0,2,4,42.114006,138.31363,0.6580313444137573,2.1611504554748535,115.16626,0.22688146,nan,nan
2,1,2,4,73.73203,208.14449,1.152063012123108,3.2522575855255127,169.98175,0.14862478,11.325185775756836,11.32648754119873
2,2,2,4,45.826805,103.853966,1.0126388955234789,2.2948701075468914,87.63685,15.181146,15.98859691619873,15.988932609558105
2,3,2,4,32.522533,72.0765,1.0163291692733765,2.2523906230926514,60.655167,32.383095,22.61663818359375,22.615306854248047
2,4,2,4,24.614906,47.115826,1.0878354481752814,2.0822449887808285,51.6876,33.179356,31.973018646240234,31.969419479370117
2,0,3,4,40.036385,117.891426,0.6255685091018677,1.8420535326004028,103.94041,0.15947707,nan,nan
2,1,3,4,69.08673,180.91385,1.0794801712036133,2.8267788887023926,158.52559,0.11191012,11.3255615234375,11.32648754119873
2,2,3,4,44.11421,90.695435,0.974795493126638,2.004104900229025,82.49497,11.230404,15.988527297973633,15.988932609558105
2,3,3,4,31.93623,64.789024,0.9980071783065796,2.0246570110321045,58.12061,31.774454,22.615755081176758,22.615306854248047
2,4,3,4,25.913086,47.469166,1.1452074242422507,2.0978605647415085,53.524765,31.981293,31.970962524414062,31.969419479370117
3,0,0,1,41.814964,120.48041,0.6533588171005249,1.8825063705444336,103.23631,0.12043035,nan,nan
3,1,0,1,70.71243,188.31612,1.104881763458252,2.942439317703247,161.008,0.061617807,11.323513984680176,11.324100494384766
3,2,0,1,44.948006,105.27818,0.9932199879531755,2.3263411593299756,94.31377,7.9958544,15.988354682922363,15.988258361816406
3,3,0,1,32.766468,71.016655,1.0239521265029907,2.2192704677581787,60.2596,30.819094,22.617908477783203,22.617128372192383
3,4,0,1,24.58764,43.670746,1.086630469776355,1.9299925331083163,45.904766,30.394543,31.977542877197266,31.975261688232422
3,0,0,2,41.814964,120.48041,0.6533588171005249,1.8825063705444336,115.46532,0.10995844,nan,nan
3,1,0,2,70.71243,188.31612,1.104881763458252,2.942439317703247,171.56055,0.11249532,11.323513984680176,11.325092315673828
3,2,0,2,44.948006,105.27818,0.9932199879531755,2.3263411593299756,92.903275,11.806871,15.988354682922363,15.988526344299316
3,3,0,2,32.766468,71.016655,1.0239521265029907,2.2192704677581787,64.540245,30.931988,22.617908477783203,22.616622924804688
3,4,0,2,24.58764,43.670746,1.086630469776355,1.9299925331083163,48.207695,32.16875,31.977542877197266,31.972984313964844
3,0,0,3,41.814964,120.48041,0.6533588171005249,1.8825063705444336,95.58165,0.116290085,nan,nan
3,1,0,3,70.71243,188.31612,1.104881763458252,2.942439317703247,153.20049,0.07801851,11.323513984680176,11.325567245483398
3,2,0,3,44.948006,105.27818,0.9932199879531755,2.3263411593299756,93.33061,11.673556,15.988354682922363,15.988533020019531
3,3,0,3,32.766468,71.016655,1.0239521265029907,2.2192704677581787,61.70212,32.208992,22.617908477783203,22.615739822387695
3,4,0,3,24.58764,43.670746,1.086630469776355,1.9299925331083163,48.964905,33.290516,31.977542877197266,31.970958709716797
3,0,0,4,41.814964,120.48041,0.6533588171005249,1.8825063705444336,107.40213,0.15897238,nan,nan
3,1,0,4,70.71243,188.31612,1.104881763458252,2.942439317703247,160.21965,0.15240014,11.323513984680176,11.326522827148438
3,2,0,4,44.948006,105.27818,0.9932199879531755,2.3263411593299756,87.33937,11.124606,15.988354682922363,15.988973617553711
3,3,0,4,32.766468,71.016655,1.0239521265029907,2.2192704677581787,62.536755,31.902967,22.617908477783203,22.615324020385742
3,4,0,4,24.58764,43.670746,1.086630469776355,1.9299925331083163,46.532253,32.153133,31.977542877197266,31.969417572021484
3,0,1,2,42.33836,132.77014,0.6615368723869324,2.074533462524414,111.831406,0.14254281,nan,nan
3,1,1,2,68.83684,202.4273,1.075575590133667,3.16292667388916,168.46503,0.10058546,11.324100494384766,11.325092315673828
3,2,1,2,45.337452,103.679756,1.0018256157758267,2.2910205829913,90.2605,12.679659,15.988258361816406,15.988526344299316
3,3,1,2,33.09615,66.04633,1.0342546701431274,2.063947916030884,58.310444,29.6962,22.617128372192383,22.616622924804688
3,4,1,2,23.783396,44.175728,1.051087526664936,1.952309795157017,49.430485,30.944277,31.975261688232422,31.972984313964844
3,0,1,3,42.33836,132.77014,0.6615368723869324,2.074533462524414,95.61326,0.14747739,nan,nan
3,1,1,3,68.83684,202.4273,1.075575590133667,3.16292667388916,147.92467,0.09117056,11.324100494384766,11.325567245483398
3,2,1,3,45.337452,103.679756,1.0018256157758267,2.2910205829913,83.97959,10.244223,15.988258361816406,15.988533020019531
3,3,1,3,33.09615,66.04633,1.0342546701431274,2.063947916030884,56.571445,30.84241,22.617128372192383,22.615739822387695
3,4,1,3,23.783396,44.175728,1.051087526664936,1.952309795157017,46.43478,29.713745,31.975261688232422,31.970958709716797
3,0,1,4,42.33836,132.77014,0.6615368723869324,2.074533462524414,105.63791,0.18170738,nan,nan
3,1,1,4,68.83684,202.4273,1.075575590133667,3.16292667388916,154.87607,0.12266953,11.324100494384766,11.326522827148438
3,2,1,4,45.337452,103.679756,1.0018256157758267,2.2910205829913,84.57077,12.451836,15.988258361816406,15.988973617553711
3,3,1,4,33.09615,66.04633,1.0342546701431274,2.063947916030884,58.186337,30.664852,22.617128372192383,22.615324020385742
3,4,1,4,23.783396,44.175728,1.051087526664936,1.952309795157017,49.594975,27.92345,31.975261688232422,31.969417572021484
3,0,2,3,42.114006,138.31363,0.6580313444137573,2.1611504554748535,113.83216,0.20178343,nan,nan
3,1,2,3,73.73203,208.14449,1.152063012123108,3.2522575855255127,171.1182,0.0947738,11.325092315673828,11.325567245483398
3,2,2,3,45.826805,103.853966,1.0126388955234789,2.2948701075468914,89.07144,9.870053,15.988526344299316,15.988533020019531
3,3,2,3,32.522533,72.0765,1.0163291692733765,2.2523906230926514,59.821754,36.326656,22.616622924804688,22.615739822387695
3,4,2,3,24.614906,47.115826,1.0878354481752814,2.0822449887808285,47.9439,31.809002,31.972984313964844,31.970958709716797
3,0,2,4,42.114006,138.31363,0.6580313444137573,2.1611504554748535,115.16626,0.22688146,nan,nan
3,1,2,4,73.73203,208.14449,1.152063012123108,3.2522575855255127,169.98175,0.14862478,11.325092315673828,11.326522827148438
3,2,2,4,45.826805,103.853966,1.0126388955234789,2.2948701075468914,87.63685,15.181146,15.988526344299316,15.988973617553711
3,3,2,4,32.522533,72.0765,1.0163291692733765,2.2523906230926514,60.655167,32.383095,22.616622924804688,22.615324020385742
3,4,2,4,24.614906,47.115826,1.0878354481752814,2.0822449887808285,51.6876,33.179356,31.972984313964844,31.969417572021484
3,0,3,4,40.036385,117.891426,0.6255685091018677,1.8420535326004028,103.94041,0.15947707,nan,nan
3,1,3,4,69.08673,180.91385,1.0794801712036133,2.8267788887023926,158.52559,0.11191012,11.325567245483398,11.326522827148438
3,2,3,4,44.11421,90.695435,0.974795493126638,2.004104900229025,82.49497,11.230404,15.988533020019531,15.988973617553711
3,3,3,4,31.93623,64.789024,0.9980071783065796,2.0246570110321045,58.12061,31.774454,22.615739822387695,22.615324020385742
3,4,3,4,25.913086,47.469166,1.1452074242422507,2.0978605647415085,53.524765,31.981293,31.970958709716797,31.969417572021484
4,0,0,1,41.814964,120.48041,0.6533588171005249,1.8825063705444336,103.23631,0.12043035,nan,nan
4,1,0,1,70.71243,188.31612,1.104881763458252,2.942439317703247,161.008,0.061617807,11.323552131652832,11.324138641357422
4,2,0,1,44.948006,105.27818,0.9932199879531755,2.3263411593299756,94.31377,7.9958544,15.988386154174805,15.988287925720215
4,3,0,1,32.766468,71.016655,1.0239521265029907,2.2192704677581787,60.2596,30.819094,22.617923736572266,22.61713981628418
4,4,0,1,24.58764,43.670746,1.086630469776355,1.9299925331083163,45.904766,30.394543,31.977537155151367,31.975229263305664
4,0,0,2,41.814964,120.48041,0.6533588171005249,1.8825063705444336,115.46532,0.10995844,nan,nan
4,1,0,2,70.71243,188.31612,1.104881763458252,2.942439317703247,171.56055,0.11249532,11.323552131652832,11.325138092041016
4,2,0,2,44.948006,105.27818,0.9932199879531755,2.3263411593299756,92.903275,11.806871,15.988386154174805,15.988553047180176
4,3,0,2,32.766468,71.016655,1.0239521265029907,2.2192704677581787,64.540245,30.931988,22.617923736572266,22.61662483215332
4,4,0,2,24.58764,43.670746,1.086630469776355,1.9299925331083163,48.207695,32.16875,31.977537155151367,31.972990036010742
4,0,0,3,41.814964,120.48041,0.6533588171005249,1.8825063705444336,95.58165,0.116290085,nan,nan
4,1,0,3,70.71243,188.31612,1.104881763458252,2.942439317703247,153.20049,0.07801851,11.323552131652832,11.325617790222168
4,2,0,3,44.948006,105.27818,0.9932199879531755,2.3263411593299756,93.33061,11.673556,15.988386154174805,15.988584518432617
4,3,0,3,32.766468,71.016655,1.0239521265029907,2.2192704677581787,61.70212,32.208992,22.617923736572266,22.615787506103516
4,4,0,3,24.58764,43.670746,1.086630469776355,1.9299925331083163,48.964905,33.290516,31.977537155151367,31.97098731994629
4,0,0,4,41.814964,120.48041,0.6533588171005249,1.8825063705444336,107.40213,0.15897238,nan,nan
4,1,0,4,70.71243,188.31612,1.104881763458252,2.942439317703247,160.21965,0.15240014,11.323552131652832,11.32647705078125
4,2,0,4,44.948006,105.27818,0.9932199879531755,2.3263411593299756,87.33937,11.124606,15.988386154174805,15.988943099975586
4,3,0,4,32.766468,71.016655,1.0239521265029907,2.2192704677581787,62.536755,31.902967,22.617923736572266,22.61526107788086
4,4,0,4,24.58764,43.670746,1.086630469776355,1.9299925331083163,46.532253,32.153133,31.977537155151367,31.969398498535156
4,0,1,2,42.33836,132.77014,0.6615368723869324,2.074533462524414,111.831406,0.14254281,nan,nan
4,1,1,2,68.83684,202.4273,1.075575590133667,3.16292667388916,168.46503,0.10058546,11.324138641357422,11.325138092041016
4,2,1,2,45.337452,103.679756,1.0018256157758267,2.2910205829913,90.2605,12.679659,15.988287925720215,15.988553047180176
4,3,1,2,33.09615,66.04633,1.0342546701431274,2.063947916030884,58.310444,29.6962,22.61713981628418,22.61662483215332
4,4,1,2,23.783396,44.175728,1.051087526664936,1.952309795157017,49.430485,30.944277,31.975229263305664,31.972990036010742
4,0,1,3,42.33836,132.77014,0.6615368723869324,2.074533462524414,95.61326,0.14747739,nan,nan
4,1,1,3,68.83684,202.4273,1.075575590133667,3.16292667388916,147.92467,0.09117056,11.324138641357422,11.325617790222168
4,2,1,3,45.337452,103.679756,1.0018256157758267,2.2910205829913,83.97959,10.244223,15.988287925720215,15.988584518432617
4,3,1,3,33.09615,66.04633,1.0342546701431274,2.063947916030884,56.571445,30.84241,22.61713981628418,22.615787506103516
4,4,1,3,23.783396,44.175728,1.051087526664936,1.952309795157017,46.43478,29.713745,31.975229263305664,31.97098731994629
4,0,1,4,42.33836,132.77014,0.6615368723869324,2.074533462524414,105.63791,0.18170738,nan,nan
4,1,1,4,68.83684,202.4273,1.075575590133667,3.16292667388916,154.87607,0.12266953,11.324138641357422,11.32647705078125
4,2,1,4,45.337452,103.679756,1.0018256157758267,2.2910205829913,84.57077,12.451836,15.988287925720215,15.988943099975586
